T,U,Delta,kind,hilbert_mode,run,mu,mu_minus_U_over_2,ne_actual,dne,A_arith_0,A_typ_0,sigma,kappa,lorenz,L11,L12,L22,iterations,converged,diff,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,status,error
0.02,1,2,typ,eta,target_ne,3.604810448327296,3.104810448327296,0.5178391982652573,0.01783919826525726,4.747016825987208e-05,4.327072385727766e-05,2.34412751818159e-08,2.078689679487427e-09,4.433823807289992,2.34412751818159e-08,-9.370045843561476e-11,4.194833703258373e-11,250,False,0.003343879499980408,2.636853421706804,-0.00813698467615088,56,0,ok,
0.02,1,2,typ,eta,mu_U_over_2_diagnostic,0.5,0,0.3681385835098048,-0.1318614164901952,0.3141073350047415,0.3097280963891073,77.60767837492062,5.402602022616119,3.480713594160292,77.60767837492062,-0.0003038021163160876,0.1080520416415826,250,False,0.030054707262166,2.605272486974365,0.0734972182428511,198,62,ok,
0.02,1.5,2,typ,eta,target_ne,2.630056017198835,1.880056017198835,0.5180959962334249,0.01809599623342495,0.002542804377941006,0.0005016912972217895,2.523754125979037e-06,6.229574981473215e-07,12.34188171769027,2.523754125979037e-06,-1.035899182714677e-07,1.671109790709354e-08,250,False,0.003356631417533862,2.586406746361048,-0.06537090035241425,55,0,ok,
0.02,1.5,2,typ,eta,mu_U_over_2_diagnostic,0.75,0,0.3605080436255497,-0.1394919563744503,0.2833777917651988,0.276672905918199,3.892423114986164,0.2490031846027566,3.198562659389121,3.892423114986164,2.608815508897688e-07,0.004980063692072618,250,False,0.0269988838095237,2.556045464291202,-0.03942236578497726,54,0,ok,
0.02,2,2,typ,eta,target_ne,2.519976241012125,1.519976241012125,0.4998646894623004,-0.0001353105376995511,0.2175900045860182,0.1164510241636541,0.08903969852504567,0.00577360769141571,3.242153661263617,0.08903969852504567,-0.000406920367659748,0.0001173318207898973,166,True,0.001996713578944121,2.513804789197218,-0.6978319546605996,58,0,ok,
0.02,2,2,typ,eta,mu_U_over_2_diagnostic,1,0,0.3449271496898704,-0.1550728503101296,0.2239507839469971,0.1896709787771867,0.3126859186157677,0.0205758341767312,3.290176012373464,0.3126859186157677,8.695294310967494e-10,0.0004115166835346265,250,False,0.03309440952058117,2.484413760835112,-0.4263130405536806,58,0,ok,
0.02,0,0.05,typ,pv,target_ne,0.03376553691139011,0.03376553691139011,0.4986670903237789,-0.001332909676221128,0.6354094950887159,0.635408286525458,173.0398686095415,12.42461621006049,3.590102185669191,173.0398686095415,0.2479753820261734,0.2488476861798402,73,True,0.001985135853039448,0.2103754181773163,0.00146850239248969,105,31,ok,
0.02,0,0.05,typ,pv,mu_U_over_2_diagnostic,0,0,0.4798878558047986,-0.02011214419520141,0.6357152127322194,0.6357150244953798,183.5337122821606,12.27589334418704,3.344315655021012,183.5337122821606,-6.654676809603188e-13,0.2455178668837408,79,True,0.001947728034315094,0.2107978150161253,0.001339178781308514,104,32,ok,
0.02,0.5,0.05,typ,pv,target_ne,0.2834850265080461,0.03348502650804613,0.4978617024381553,-0.002138297561844749,0.550897806130592,0.5508978059809339,1.072087416489248,0.07097930426885032,3.31033193642387,1.072087416489248,0.0001336408519873183,0.001419602744351867,58,True,0.001935565251664476,0.1211668720981557,-0.1283484550347498,4,0,ok,
0.02,0.5,0.05,typ,pv,mu_U_over_2_diagnostic,0.25,0,0.4821656075775929,-0.01783439242240714,0.5509032718397459,0.550903271835985,1.07047375372893,0.07088694435439835,3.311008051690572,1.07047375372893,2.800877835044957e-08,0.0014177388870887,109,True,0.00189849492815061,0.1157611096256901,-0.1318680747996097,4,0,ok,
0.02,1,0.05,typ,pv,target_ne,0.6353529365588689,0.1353529365588689,0.4968385574140082,-0.003161442585991769,0.3517868916060865,0.3515924963766791,0.1959431391292636,0.01224320851502611,3.124173821403686,0.1959431391292636,0.001371045178101184,0.0002544575905588066,127,True,0.001961878721814566,0.0006350958538675093,-0.3681236379151963,1,0,ok,
0.02,1,0.05,typ,pv,mu_U_over_2_diagnostic,0.5,0,0.4663461602879326,-0.03365383971206737,0.1149160830150052,0.114912441395579,0.05109784413617521,0.006663439878273304,6.520274965530158,0.05109784413617521,-3.470850817781346e-06,0.000133269033325029,159,True,0.001989881876525009,-0.000155729087636658,-0.5090956279241039,0,0,ok,
0.02,1.5,0.05,typ,pv,target_ne,1.25,0.5,0.5788491714159989,0.0788491714159989,0.4064093874921542,0.4061693111738609,0.2933257219659424,0.01901104583664354,3.240603263366532,0.2933257219659424,0.0009207820337919655,0.0003831113538485509,209,True,0.00196539877400141,0.0009377118626718674,-0.3428208840202634,1,0,ok,
0.02,1.5,0.05,typ,pv,mu_U_over_2_diagnostic,0.75,0,0.4508126375389815,-0.04918736246101846,0.001020909237394793,0.001020908378247131,8.674179759787512e-06,1.624665570453616e-05,93.6495216519132,8.674179759787512e-06,6.778790732956366e-09,3.249384116525762e-07,250,False,0.002137830749908986,-0.0002422690759653616,-0.02816742280024617,0,0,ok,
