T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,sigma,kappa,kappa_bare,thermoelectric_correction,lorenz,L11,L12,L22,tau_min,tau_max,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,solution_dir,status,error
0.02,0.2,0.05,typ,0.5,0.5,0.1336671753022461,0.4990051699811325,-0.0009948300188675208,0.6226304655795153,0.6226295639411015,0.9999985518883774,148,True,0.001952543156704246,7.295507124145736,0.4821583912823875,0.4821612467749005,2.855492513002186e-06,3.304488523399568,7.295507124145736,-0.0006454806886584952,0.00964322493549801,2.941445518529138e-11,31.02863738597787,0.1961282511926728,-0.01848656627648121,5,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p5__typ,ok,
0.02,0.2,0.05,typ,0.45,0.55,0.2096496462587578,0.5510716398938541,0.001071639893854059,0.6187285210580229,0.6187167826360191,0.9999810281543452,32,True,0.001897191332489723,7.102522177395141,0.4692900775259582,0.4693215875902976,3.151006433930954e-05,3.303686111812121,7.102522177395141,-0.002115660326144506,0.009386431751805951,2.817237497467726e-11,24.91463637939567,0.1879906740968539,-0.01820350317225417,5,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p45__typ,ok,
0.02,0.4,0.05,typ,0.45,0.55,0.2971318025382,0.5501655257271614,0.0001655257271613308,0.5794547142079614,0.5794496932671044,0.9999913350590929,42,True,0.001910271598464687,1.764740904548485,0.1163600558622785,0.1163664305040381,6.374641759560981e-06,3.296802821376478,1.764740904548485,-0.0004743330278388844,0.002327328610080761,2.828632837682418e-11,14.04038642554231,0.152782674049589,-0.07903592333681075,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p05__w1_0p45__typ,ok,
0.02,0.4,0.05,typ,0.4,0.6,0.3632624205616025,0.5990864905627182,-0.0009135094372817454,0.5720809735651857,0.5720638664163515,0.9999700966303291,85,True,0.00195677027629409,1.715529546473765,0.1131098333121013,0.1131450241950431,3.519088294177118e-05,3.296644862357405,1.715529546473765,-0.001098826641951387,0.002262900483900862,2.709977616072733e-11,81.40693827862988,0.1355140339972721,-0.07854031571537584,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p05__w1_0p4__typ,ok,
0.02,0.4,0.05,typ,0.5,0.5,0.2329270522858246,0.500798806270399,0.0007988062703989662,0.5827000814993225,0.5826999051621441,0.9999996973791767,29,True,0.001889245223104922,1.784796968046215,0.1176713092952288,0.1176714828619009,1.735666721381764e-07,3.296490060268352,1.784796968046215,7.871229512421661e-05,0.002353429657238019,2.951006080364884e-11,42.5409122611711,0.1550940173594154,-0.07977426498739659,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p05__w1_0p5__typ,ok,
0.02,0.6000000000000001,0.05,typ,0.4,0.6,0.4641832417858148,0.6008074903299592,0.0008074903299591929,0.4982137181664842,0.4982114497773801,0.9999954469557514,75,True,0.00198841652374538,0.6398122038562574,0.04279495618810943,0.04279868697730526,3.730789195826741e-06,3.344337286017438,0.6398122038562574,-0.0002184950552074358,0.0008559737395461052,2.693865892896355e-11,14.21601320776317,0.08594243081161512,-0.1877638208679899,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p6__Delta_0p05__w1_0p4__typ,ok,
0.02,0.5,0.05,typ,0.5,0.5,0.2866692211807956,0.4994495200138925,-0.0005504799861075216,0.55089652387358,0.5508965236722919,0.9999999996346173,206,True,0.001972915570033542,1.072503793959598,0.07100554920386422,0.07100659691518649,1.047711322268569e-06,3.31027030411321,1.072503793959598,0.0001499115984910752,0.00142013193830373,2.951627481957083e-11,63.15884345839079,0.1220251158241361,-0.1278304002445692,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p05__w1_0p5__typ,ok,
0.02,0.6000000000000001,0.05,typ,0.45,0.55,0.3966793632117363,0.5482980348897978,-0.001701965110202264,0.5061015341814832,0.5061012655672028,0.9999994692482392,84,True,0.001996729424036599,0.6620392955831137,0.04426000778396076,0.04426001264233707,4.858376303566506e-09,3.342702470929407,0.6620392955831137,-8.02051871850052e-06,0.0008852002528467414,2.828262733781978e-11,57.4862542242569,0.08721820755263443,-0.1893220207276436,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p6__Delta_0p05__w1_0p45__typ,ok,
0.02,0.6000000000000001,0.05,typ,0.5,0.5,0.3381098464671526,0.5007754891019035,0.0007754891019035037,0.5096545880967401,0.5096541203428547,0.9999990822139223,102,True,0.001977759374082495,0.6746452330096501,0.04507941021572685,0.04508479998613174,5.389770404890583e-06,3.340971521774767,0.6746452330096501,0.0002696732434141706,0.0009016959997226349,2.957329724444964e-11,63.0865335764622,0.08199979854449407,-0.1863252637933894,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p6__Delta_0p05__w1_0p5__typ,ok,
0.02,0.5,0.05,typ,0.4,0.6,0.4064444682450118,0.5987221728593561,-0.001277827140643839,0.5405218854343339,0.5405125517273616,0.9999827320461505,51,True,0.001821631806851488,1.028358404277828,0.0681141502160037,0.0681343484626076,2.019824660390299e-05,3.311790419208822,1.028358404277828,-0.0006445314057018439,0.001362686969252152,2.711230048848182e-11,49.48364483054952,0.1140011628371912,-0.1281734668518875,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p05__w1_0p4__typ,ok,
0.02,0.7000000000000001,0.05,typ,0.5,0.5,0.3952465729723196,0.49993071002114,-6.928997885996546e-05,0.4575794074148967,0.4575752412768955,0.9999908952677203,83,True,0.001962836609927732,0.4287428076584043,0.02916262646882579,0.02919067786499715,2.805139617135613e-05,3.400946435474757,0.4287428076584043,0.0004904453966191433,0.000583813557299943,2.955357119074926e-11,14.16426458302785,0.03853005042137547,-0.2503167653857415,3,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p7__Delta_0p05__w1_0p5__typ,ok,
0.02,0.7000000000000001,0.05,typ,0.45,0.55,0.4618997180311469,0.5539299458948431,0.003929945894843079,0.4545159970749303,0.45451317289253,0.9999937863960379,31,True,0.001920992587020801,0.4214532759967793,0.02861654147195027,0.0286342236576008,1.768218565052614e-05,3.394983869121586,0.4214532759967793,0.0003860625614896499,0.000572684473152016,2.808033389601326e-11,11.38971958909595,0.0519267981696932,-0.2528092321707918,3,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p7__Delta_0p05__w1_0p45__typ,ok,
0.02,0.7000000000000001,0.05,typ,0.4,0.6,0.5069840660679628,0.5973415048729213,-0.002658495127078719,0.445888353151483,0.4458880332063984,0.9999992824547169,139,True,0.001957980564232545,0.4022114529484124,0.02746064787854977,0.02746188685225508,1.238973705310045e-06,3.413707849098951,0.4022114529484124,9.983280164130737e-05,0.0005492377370451017,2.698021058602097e-11,18.58026254994282,0.05025833337526453,-0.2614029099812209,3,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p7__Delta_0p05__w1_0p4__typ,ok,
0.02,0.5,0.05,typ,0.45,0.55,0.3530935015315489,0.5528171860033415,0.002817186003341465,0.5471612878254198,0.5471589224151659,0.9999956769415043,70,True,0.001923059701507546,1.053616778824956,0.06976048994906735,0.06976286082673755,2.370877670195818e-06,3.310524820365312,1.053616778824956,-0.0002235171802730043,0.001395257216534751,2.819234126633761e-11,74.57859179903957,0.1224668327137738,-0.1282752706760561,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p5__Delta_0p05__w1_0p45__typ,ok,
0.02,0.8,0.05,typ,0.5,0.5,0.4590321220934208,0.5012035299147515,0.001203529914751478,0.3972434456761685,0.3972189466457274,0.9999383274143155,51,True,0.001939949082567759,0.2726962027349595,0.01888124458837051,0.01903038834789193,0.0001491437595214243,3.461955905326939,0.2726962027349595,0.0009018972988440355,0.0003806077669578386,2.944803886239978e-11,9.492766494043774,0.0008855816182679875,-0.3112348361441911,2,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p8__Delta_0p05__w1_0p5__typ,ok,
0.02,0.8,0.05,typ,0.4,0.6,0.5742454622680843,0.5995706803958541,-0.000429319604145828,0.3879900442871526,0.3879676940976617,0.9999423949407467,88,True,0.001969428804732519,0.2557298285055114,0.01760826369259444,0.01770578871771325,9.752502511881469e-05,3.442747331333496,0.2557298285055114,0.000706258563822488,0.0003541157743542651,2.670681363910978e-11,8.516344589111041,0.01714716471424982,-0.3289619630700726,2,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p8__Delta_0p05__w1_0p4__typ,ok,
0.02,0.8,0.05,typ,0.45,0.55,0.5198520005495253,0.5506178920407887,0.000617892040788659,0.3962484155395898,0.3962229390012439,0.999935705639829,142,True,0.001979641691254666,0.2694946175437298,0.01851024941654695,0.0186401197540112,0.0001298703374642557,3.43425215413502,0.2694946175437298,0.0008366523402848366,0.0003728023950802241,2.799516527484819e-11,15.6860588677234,0.01074772663703921,-0.3198817814050605,2,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p8__Delta_0p05__w1_0p45__typ,ok,
0.02,0.9,0.05,typ,0.5,0.5,0.5278906405086532,0.4956945975706969,-0.004305402429303107,0.3486643404943818,0.3485725852376305,0.9997368378520692,39,True,0.001988895554795134,0.1897314285179522,0.01245053031720604,0.0129502735670314,0.0004997432498253523,3.281093283927914,0.1897314285179522,0.00137707661864958,0.0002590054713406279,2.928320639896271e-11,1.171956183341639,0.0006731619254403372,-0.3592621063074671,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p9__Delta_0p05__w1_0p5__typ,ok,
0.02,0.9,0.05,typ,0.4,0.6,0.6443041923389033,0.5987440572859511,-0.00125594271404883,0.3450645732689637,0.344969121851654,0.9997233809996618,43,True,0.001929750027357729,0.1814818351994542,0.01175628361979324,0.01211786473423545,0.0003615811144422129,3.238969786390113,0.1814818351994542,0.001145603807801254,0.000242357294684709,2.64106357182897e-11,3.158591603335264,0.0007290017395735651,-0.3890378338322817,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p9__Delta_0p05__w1_0p4__typ,ok,
